run_id,path_cost,goal_tests,states,succs,time_taken
110,-92,2,3,1,4.1961669921875e-05
111,-84,14,46,13,0.0005450248718261719
112,-58,21,66,20,0.0007581710815429688
113,-63,29,96,28,0.0009930133819580078
114,-65,26,87,25,0.0010018348693847656
115,-91,8,21,7,0.00023102760314941406
116,-70,27,86,26,0.0009589195251464844
117,-84,12,31,11,0.00031185150146484375
118,-89,5,13,4,0.00014901161193847656
119,-74,18,51,17,0.0005571842193603516
120,-85,4,12,3,0.0001418590545654297
121,-82,8,23,7,0.0002541542053222656
122,-74,20,67,19,0.0007920265197753906
123,-95,2,3,1,4.410743713378906e-05
124,-74,26,84,25,0.0010650157928466797
125,-72,30,99,29,0.001161336898803711
126,-79,19,63,18,0.0007586479187011719
127,-68,14,45,13,0.0005331039428710938
128,-75,20,61,19,0.0006489753723144531
129,-87,10,26,9,0.0002741813659667969
130,-88,13,39,12,0.0004220008850097656
131,-93,4,12,3,0.00014472007751464844
132,-67,29,95,28,0.001069784164428711
133,-93,4,11,3,0.00012683868408203125
134,-79,24,77,23,0.0009150505065917969
135,-69,26,84,25,0.0009310245513916016
136,-79,18,52,17,0.0005719661712646484
137,-97,2,3,1,4.410743713378906e-05
138,-74,27,88,26,0.001110076904296875
139,-99,3,5,2,6.222724914550781e-05
140,-70,21,66,20,0.0006799697875976562
141,-76,6,15,5,0.0001590251922607422
142,-74,9,24,8,0.00025010108947753906
143,-74,23,71,22,0.0007460117340087891
144,-73,24,75,23,0.0007970333099365234
145,-73,23,73,22,0.0007920265197753906
146,-75,16,52,15,0.0006389617919921875
147,-95,3,7,2,7.987022399902344e-05
148,-93,7,19,6,0.00020384788513183594
149,-76,13,42,12,0.0004949569702148438
150,-70,25,77,24,0.0008690357208251953
151,-78,24,78,23,0.0008568763732910156
152,-70,29,92,28,0.0009989738464355469
153,-65,14,43,13,0.0004601478576660156
154,-64,31,99,30,0.0012407302856445312
155,-88,12,36,11,0.0003829002380371094
156,-78,10,30,9,0.0003933906555175781
157,-88,11,32,10,0.00033593177795410156
158,-74,24,77,23,0.0008447170257568359
159,-71,27,91,26,0.0010480880737304688
160,-84,19,64,18,0.000827789306640625
161,-68,27,86,26,0.0009229183197021484
162,-87,3,7,2,7.796287536621094e-05
163,-91,4,11,3,0.0001270771026611328
164,-55,33,105,32,0.0011560916900634766
165,-94,2,3,1,4.291534423828125e-05
