run_id,path_cost,goal_tests,states,succs,time_taken
405,-85,30,83,24,0.00048422813415527344
406,-40,34,101,31,0.0005710124969482422
407,-87,6,7,2,5.0067901611328125e-05
408,-65,22,48,14,0.0003020763397216797
409,-98,2,3,1,2.6226043701171875e-05
410,-86,17,29,8,0.00019097328186035156
411,-30,22,54,16,0.0004570484161376953
412,-99,8,10,3,7.081031799316406e-05
413,-89,6,7,2,5.078315734863281e-05
414,-79,21,50,16,0.0002970695495605469
415,-91,10,11,3,8.082389831542969e-05
416,-91,10,11,3,8.511543273925781e-05
417,-82,16,32,10,0.00020313262939453125
418,-84,17,34,10,0.00021600723266601562
419,-96,5,4,1,3.62396240234375e-05
420,-67,28,71,22,0.0004360675811767578
421,-38,35,109,32,0.0006279945373535156
422,-91,7,8,2,5.698204040527344e-05
423,-73,34,103,31,0.0005939006805419922
424,-91,13,27,8,0.00016617774963378906
425,-53,33,93,28,0.000598907470703125
426,-84,14,23,6,0.0001609325408935547
427,-75,25,64,19,0.0003731250762939453
428,-74,18,41,12,0.0002961158752441406
429,-50,29,77,23,0.00045108795166015625
430,-74,18,39,12,0.0002338886260986328
431,-72,35,105,32,0.0006270408630371094
432,-75,26,69,20,0.00040602684020996094
433,-80,28,66,20,0.0004088878631591797
434,-81,33,99,30,0.0005748271942138672
435,-40,26,60,17,0.000392913818359375
436,-97,4,4,1,3.314018249511719e-05
437,-84,29,68,19,0.0004508495330810547
438,-82,15,26,7,0.0001819133758544922
439,-91,6,9,3,6.079673767089844e-05
440,-67,30,76,23,0.0004680156707763672
441,-96,18,39,12,0.00023889541625976562
442,-79,13,26,8,0.00015616416931152344
443,-73,29,72,22,0.0004458427429199219
444,-79,26,68,20,0.0003991127014160156
445,-30,19,38,13,0.00023698806762695312
446,-79,35,107,32,0.0006327629089355469
447,-75,28,71,21,0.00043392181396484375
448,-93,9,13,4,8.916854858398438e-05
449,-70,26,69,21,0.0004241466522216797
450,-82,11,19,6,0.0001239776611328125
451,-95,3,4,1,3.0994415283203125e-05
452,-89,12,16,4,0.00011396408081054688
453,-87,7,9,3,6.604194641113281e-05
454,-82,18,40,12,0.0002377033233642578
455,-97,12,22,7,0.00016832351684570312
456,-23,29,78,23,0.0004951953887939453
457,-88,12,20,6,0.00013685226440429688
458,-95,8,12,4,8.487701416015625e-05
